time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
4032,1,0,0,0,1,0,1,206
4038,1,0,1,0,1,0,1,206
4040,1,1,1,0,1,0,1,206
4044,1,1,1,0,1,0,0,206
4050,1,1,1,0,1,0,0,25
4056,0,1,1,0,1,0,0,25
4070,0,1,1,0,1,0,0,102
4080,1,0,1,0,1,0,1,102
4086,1,0,0,0,1,0,1,102
4092,1,0,0,0,1,0,0,102
4104,0,0,0,0,1,0,0,102
4128,1,0,0,0,1,0,1,102
4134,1,0,1,0,1,0,1,102
4140,0,1,1,0,1,0,1,102
4150,0,1,1,0,1,0,1,175
4160,0,0,1,0,1,0,1,175
4164,1,0,1,0,1,0,0,175
4176,0,0,1,0,1,0,0,175
4182,0,0,0,0,1,0,0,175
4200,1,0,0,0,1,0,1,175
4206,1,0,1,0,1,0,1,175
4212,1,0,1,0,1,0,0,175
4224,0,0,1,0,1,0,0,175
4236,1,0,1,0,1,0,1,175
4240,1,1,1,0,1,0,1,175
4248,0,1,1,0,1,0,1,175
4250,0,1,1,0,1,0,1,176
4260,1,1,1,0,1,0,0,176
4270,1,1,1,0,1,0,0,80
4272,1,1,1,0,1,0,1,80
4278,1,1,0,0,1,0,1,80
4280,1,0,0,0,1,0,1,80
4284,0,0,0,0,1,0,1,80
4300,0,1,0,0,1,0,1,80
4308,1,1,0,0,1,0,1,80
4310,1,1,0,0,1,0,1,152
4320,0,1,0,0,1,0,1,152
4330,0,1,0,0,1,0,1,128
4332,1,1,0,0,1,0,0,128
4340,1,0,0,0,1,0,0,128
4344,0,0,0,0,1,0,0,128
4356,1,0,0,0,1,0,0,128
4360,1,1,0,0,1,0,0,128
4368,0,1,0,0,1,0,0,128
4370,0,1,0,0,1,0,0,181
4390,0,1,0,0,1,0,0,76
4400,0,0,0,0,1,0,0,76
4404,1,0,0,0,1,0,1,76
4416,1,0,0,0,1,0,0,76
4428,1,0,0,0,1,0,0,76
4434,1,0,1,0,1,0,0,76
4440,0,0,1,0,1,0,0,76
4464,1,0,1,0,1,0,0,76
4476,1,0,1,0,1,0,1,76
4480,1,1,1,0,1,0,1,76
4488,1,1,1,0,1,0,0,76
4490,1,1,1,0,1,0,0,70
4500,0,0,1,0,1,0,0,70
4512,1,0,1,0,1,0,1,70
4518,1,0,0,0,1,0,1,70
4520,1,1,0,0,1,0,1,70
4524,1,1,0,0,1,0,0,70
4530,1,1,1,0,1,0,0,30
4536,0,1,1,0,1,0,0,30
4540,0,0,1,0,1,0,0,30
4560,0,1,1,0,1,0,0,30
4566,0,1,0,0,1,0,0,30
4570,0,1,0,0,1,0,0,180
4580,0,0,0,0,1,0,0,180
4584,1,0,0,0,1,0,1,180
4590,1,0,1,0,1,0,1,180
4596,1,0,1,0,1,0,1,180
4600,1,1,1,0,1,0,1,180
4602,1,1,0,0,1,0,1,180
4608,1,1,0,0,1,0,0,180
4610,1,1,0,0,1,0,0,185
4614,1,1,1,0,1,0,0,185
4620,1,1,1,0,1,0,0,185
4630,1,1,1,0,1,0,0,53
4632,0,1,1,0,1,0,0,53
4638,0,1,0,0,1,0,0,53
4650,0,1,0,0,1,0,0,247
4656,1,1,0,0,1,0,1,247
4660,1,0,0,0,1,0,1,247
4668,0,0,0,0,1,0,1,247
4700,0,1,0,0,1,0,1,247
4710,0,1,0,0,1,0,1,6
4720,0,0,0,0,1,0,1,6
4740,1,1,0,0,1,0,1,6
4750,1,1,0,0,1,0,1,194
4752,0,1,0,0,1,0,1,194
4764,1,1,0,0,1,0,1,194
4770,1,1,0,0,1,0,1,14
4776,0,1,0,0,1,0,1,14
4780,0,0,0,0,1,0,1,14
4788,1,0,0,0,1,0,0,14
4800,0,1,0,0,1,0,0,14
4810,0,1,0,0,1,0,0,216
4830,0,1,0,0,1,0,0,149
4836,1,1,0,0,1,0,0,149
4840,1,0,0,0,1,0,0,149
4848,0,0,0,0,1,0,0,149
4860,1,0,0,0,1,0,0,149
4872,1,0,0,0,1,0,1,149
4884,1,0,0,0,1,0,1,149
4890,1,0,1,0,1,0,1,149
4896,0,0,1,0,1,0,1,149
4900,0,1,1,0,1,0,1,149
4908,1,1,1,0,1,0,0,149
4910,1,1,1,0,1,0,0,58
4920,1,0,1,0,1,0,0,58
4938,1,0,0,0,1,0,0,58
4944,1,0,0,0,1,0,1,58
4950,1,0,1,0,1,0,1,58
4956,0,0,1,0,1,0,1,58
4960,0,1,1,0,1,0,1,58
4968,1,1,1,0,1,0,1,58
4970,1,1,1,0,1,0,1,163
4980,0,0,1,0,1,0,1,163
4992,1,0,1,0,1,0,1,163
4998,1,0,0,0,1,0,1,163
5004,1,0,0,0,1,0,0,163
5010,1,0,1,0,1,0,0,163
5016,1,0,1,0,1,0,0,163
5028,0,0,1,0,1,0,0,163
5052,1,0,1,0,1,0,1,163
5064,0,0,1,0,1,0,1,163
5080,0,1,1,0,1,0,1,163
5088,1,1,1,0,1,0,1,163
5090,1,1,1,0,1,0,1,165
5100,0,1,1,0,1,0,1,165
5110,0,1,1,0,1,0,1,40
5112,1,1,1,0,1,0,0,40
5118,1,1,0,0,1,0,0,40
5124,0,1,0,0,1,0,0,40
5130,0,1,0,0,1,0,0,8
5136,1,1,0,0,1,0,0,8
5150,1,1,0,0,1,0,0,136
5154,1,1,1,0,1,0,0,136
5160,0,0,1,0,1,0,0,136
5166,0,0,0,0,1,0,0,136
5172,1,0,0,0,1,0,1,136
5184,1,0,0,0,1,0,0,136
5190,1,0,1,0,1,0,0,136
5196,1,0,1,0,1,0,1,136
5200,1,1,1,0,1,0,1,136
5208,1,1,1,0,1,0,0,136
5210,1,1,1,0,1,0,0,73
5220,1,0,1,0,1,0,0,73
5232,1,0,1,0,1,0,1,73
5238,1,0,0,0,1,0,1,73
5240,1,1,0,0,1,0,1,73
5244,1,1,0,0,1,0,0,73
5250,1,1,1,0,1,0,0,77
5260,1,0,1,0,1,0,0,77
5268,0,0,1,0,1,0,0,77
5280,1,0,1,0,1,0,1,77
5286,1,0,0,0,1,0,1,77
5292,0,0,0,0,1,0,1,77
5300,0,1,0,0,1,0,1,77
5304,1,1,0,0,1,0,0,77
5310,1,1,1,0,1,0,0,166
5316,1,1,1,0,1,0,1,166
5328,0,1,1,0,1,0,1,166
5330,0,1,1,0,1,0,1,97
5340,1,0,1,0,1,0,0,97
5346,1,0,0,0,1,0,0,97
5352,0,0,0,0,1,0,0,97
5360,0,1,0,0,1,0,0,97
5370,0,1,0,0,1,0,0,222
5380,0,0,0,0,1,0,0,222
5400,1,0,0,0,1,0,1,222
5412,1,0,0,0,1,0,0,222
5424,1,0,0,0,1,0,1,222
5430,1,0,1,0,1,0,1,222
5436,1,0,1,0,1,0,1,222
5440,1,1,1,0,1,0,1,222
5448,0,1,1,0,1,0,1,222
5450,0,1,1,0,1,0,1,246
5460,1,1,1,0,1,0,0,246
5470,1,1,1,0,1,0,0,133
5472,0,1,1,0,1,0,0,133
5478,0,1,0,0,1,0,0,133
5490,0,1,0,0,1,0,0,151
5510,0,1,0,0,1,0,0,185
5520,0,0,0,0,1,0,0,185
5532,1,0,0,0,1,0,1,185
5540,1,1,0,0,1,0,1,185
5544,0,1,0,0,1,0,1,185
5550,0,1,0,0,1,0,1,233
5560,0,0,0,0,1,0,1,233
5580,0,1,0,0,1,0,1,233
5590,0,1,0,0,1,0,1,134
5600,0,0,0,0,1,0,1,134
5604,1,0,0,0,1,0,0,134
5616,1,0,0,0,1,0,1,134
5620,1,1,0,0,1,0,1,134
5628,0,1,0,0,1,0,1,134
5630,0,1,0,0,1,0,1,137
5650,0,1,0,0,1,0,1,235
5652,1,1,0,0,1,0,1,235
5660,1,0,0,0,1,0,1,235
5664,0,0,0,0,1,0,1,235
5676,1,0,0,0,1,0,0,235
5688,0,0,0,0,1,0,0,235
5712,1,0,0,0,1,0,0,235
5720,1,1,0,0,1,0,0,235
5724,1,1,0,0,1,0,1,235
5730,1,1,0,0,1,0,1,71
5736,1,1,0,0,1,0,0,71
5740,1,0,0,0,1,0,0,71
5742,1,0,1,0,1,0,0,71
5748,0,0,1,0,1,0,0,71
5760,1,0,1,0,1,0,1,71
5766,1,0,0,0,1,0,1,71
5772,1,0,0,0,1,0,1,71
5778,1,0,1,0,1,0,1,71
5784,1,0,1,0,1,0,0,71
5808,1,0,1,0,1,0,0,71
5820,1,0,1,0,1,0,1,71
5832,0,0,1,0,1,0,1,71
5840,0,1,1,0,1,0,1,71
5844,1,1,1,0,1,0,0,71
5850,1,1,1,0,1,0,0,231
5856,0,1,1,0,1,0,0,231
5860,0,0,1,0,1,0,0,231
5868,1,0,1,0,1,0,1,231
5880,0,0,1,0,1,0,1,231
5886,0,0,0,0,1,0,1,231
5900,0,1,0,0,1,0,1,231
5910,0,1,0,0,1,0,1,138
5916,1,1,0,0,1,0,0,138
5920,1,0,0,0,1,0,0,138
5922,1,0,1,0,1,0,0,138
5928,1,0,1,0,1,0,1,138
5940,0,1,1,0,1,0,1,138
5946,0,1,0,0,1,0,1,138
5950,0,1,0,0,1,0,1,210
