time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
1956,0,0,0,0,1,1,163,205
1962,0,0,0,0,0,1,163,205
1968,1,0,0,0,0,1,160,205
1974,1,0,0,0,1,1,160,205
1980,0,1,0,0,1,1,29,205
1990,0,1,0,0,1,1,29,151
1992,0,1,0,0,1,1,69,151
2004,1,1,0,0,1,1,83,151
2010,1,1,0,0,1,1,83,234
2016,0,1,0,0,1,1,51,234
2028,1,1,0,0,1,1,173,234
2030,1,1,0,0,1,1,173,42
2040,1,1,0,0,1,1,195,42
2050,1,1,0,0,1,1,195,199
2052,0,1,0,0,1,1,222,199
2060,0,0,0,0,1,1,222,199
2064,0,0,0,0,1,1,238,199
2076,0,0,0,0,1,1,55,199
2080,0,1,0,0,1,1,55,199
2082,0,1,0,0,0,1,55,199
2088,0,1,0,0,0,1,11,199
2090,0,1,0,0,0,1,11,31
2100,0,1,0,0,0,1,198,31
2110,0,1,0,0,0,1,198,5
2112,0,1,0,0,0,1,155,5
2124,1,1,0,0,0,1,73,5
2130,1,1,0,0,0,1,73,118
2136,0,1,0,0,0,1,74,118
2148,0,1,0,0,0,1,191,118
2150,0,1,0,0,0,1,191,8
2160,0,1,0,0,0,1,184,8
2170,0,1,0,0,0,1,184,213
2172,1,1,0,0,0,1,218,213
2184,0,1,0,0,0,1,98,213
2190,0,1,0,0,0,1,98,26
2196,0,1,0,0,0,1,242,26
2208,0,1,0,0,0,1,15,26
2210,0,1,0,0,0,1,15,106
2220,1,0,0,0,0,1,98,106
2232,1,0,0,0,0,1,198,106
2244,0,0,0,0,0,1,253,106
2256,1,0,0,0,0,1,104,106
2260,1,1,0,0,0,1,104,106
2268,0,1,0,0,0,1,27,106
2270,0,1,0,0,0,1,27,198
2280,1,0,0,0,0,1,113,198
2292,0,0,0,0,0,1,208,198
2300,0,1,0,0,0,1,208,198
2304,1,1,0,0,0,1,221,198
2310,1,1,0,0,0,1,221,126
2316,1,1,0,0,0,1,61,126
2328,1,1,0,0,0,1,220,126
2330,1,1,0,0,0,1,220,37
2334,1,1,0,0,1,1,220,37
2340,1,0,0,0,1,1,239,37
2352,1,0,0,0,1,1,66,37
2360,1,1,0,0,1,1,66,37
2364,1,1,0,0,1,1,39,37
2370,1,1,0,0,1,1,39,88
2376,1,1,0,0,1,1,49,88
2388,1,1,0,0,1,1,95,88
2390,1,1,0,0,1,1,95,211
2400,0,0,0,0,1,1,99,211
2412,1,0,0,0,1,1,243,211
2420,1,1,0,0,1,1,243,211
2424,1,1,0,0,1,1,45,211
2430,1,1,0,0,1,1,45,68
2436,0,1,0,0,1,1,123,68
2440,0,0,0,0,1,1,123,68
2448,0,0,0,0,1,1,45,68
2460,0,0,0,0,1,1,219,68
2470,0,0,0,0,1,0,219,68
2472,0,0,0,0,1,0,84,68
2484,0,0,0,0,1,0,213,68
2496,0,0,0,0,1,0,244,68
2500,0,1,0,0,1,0,244,68
2508,0,1,0,0,1,0,145,68
2510,0,1,0,0,1,0,145,21
2520,1,1,0,0,1,0,150,21
2530,1,1,0,0,1,1,150,2
2532,1,1,0,0,1,1,127,2
2544,1,1,0,0,1,1,122,2
2550,1,1,0,0,1,1,122,250
2556,1,1,0,0,1,1,152,250
2568,0,1,0,0,1,1,221,250
2570,0,1,0,0,1,1,221,192
2580,0,0,0,0,1,1,167,192
2592,0,0,0,0,1,1,187,192
2600,0,1,0,0,1,1,187,192
2604,0,1,0,0,1,1,5,192
2610,0,1,0,0,1,0,5,1
2616,0,1,0,0,1,0,170,1
2620,0,0,0,0,1,0,170,1
2628,0,0,0,0,1,0,246,1
2640,1,1,0,0,1,0,238,1
2650,1,1,0,0,1,1,238,135
2652,1,1,0,0,1,1,187,135
2664,1,1,0,0,1,1,100,135
2670,1,1,0,0,1,1,100,215
2676,0,1,0,0,1,1,232,215
2680,0,0,0,0,1,1,232,215
2688,0,0,0,0,1,1,114,215
2700,0,1,0,0,1,1,116,215
2710,0,1,0,0,1,1,116,139
2712,1,1,0,0,1,1,210,139
2724,0,1,0,0,1,1,178,139
2730,0,1,0,0,1,1,178,252
2736,1,1,0,0,1,1,245,252
2740,1,0,0,0,1,1,245,252
2748,0,0,0,0,1,1,250,252
2760,0,0,0,0,1,1,200,252
2770,0,0,0,0,1,0,200,252
2772,0,0,0,0,1,0,159,252
2784,1,0,0,0,1,0,65,252
2796,0,0,0,0,1,0,40,252
2800,0,1,0,0,1,0,40,252
2808,0,1,0,0,1,0,7,252
2810,0,1,0,0,1,0,7,5
2820,1,0,0,0,1,0,157,5
2832,1,0,0,0,1,0,82,5
2840,1,1,0,0,1,0,82,5
2844,0,1,0,0,1,0,46,5
2850,0,1,0,0,1,0,46,208
2856,0,1,0,0,1,0,251,208
2868,0,1,0,0,1,0,26,208
2870,0,1,0,0,1,0,26,216
2880,1,1,0,0,1,0,139,216
2890,1,1,0,0,1,0,139,237
2892,0,1,0,0,1,0,112,237
2900,0,0,0,0,1,0,112,237
2904,0,0,0,0,1,0,139,237
2916,0,0,0,0,1,0,81,237
2920,0,1,0,0,1,0,81,237
2928,0,1,0,0,1,0,60,237
2930,0,1,0,0,1,0,60,60
2940,1,1,0,0,1,0,223,60
2950,1,1,0,0,1,1,223,160
2952,1,1,0,0,1,1,213,160
2964,1,1,0,0,1,1,198,160
2970,1,1,0,0,1,1,198,83
2976,1,1,0,0,1,1,185,83
2988,0,1,0,0,1,1,191,83
2990,0,1,0,0,1,1,191,173
3000,0,0,0,0,1,1,129,173
