time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
1110,1,1,64,0,0,0,1,1,0,0
1112.5,0,1,64,0,0,0,1,1,0,0
1118.75,1,1,64,0,0,0,1,1,0,0
1120,1,0,64,0,0,0,1,1,0,0
1125,0,0,64,0,0,0,1,1,0,0
1130,0,1,64,0,0,0,1,1,0,0
1131.25,1,1,64,0,0,0,1,1,0,0
1137.5,0,1,64,0,0,0,1,1,0,0
1140,0,0,64,0,0,0,1,1,0,0
1143.75,1,0,64,0,0,0,1,1,0,0
1150,0,1,64,0,0,0,1,1,0,0
1156.25,1,1,64,0,0,0,1,1,0,0
1160,1,0,64,0,0,1,1,1,0,0
1162.5,0,0,64,0,0,1,1,1,0,0
1168.75,1,0,64,0,0,1,1,1,0,0
1170,1,1,64,1,0,1,1,1,0,0
1175,0,1,64,1,0,1,1,1,0,0
1180,0,0,64,1,0,1,1,1,0,0
1181.25,1,0,64,1,0,1,1,1,0,0
1187.5,0,0,64,1,0,1,1,1,0,0
1190,0,1,64,2,0,1,1,1,0,0
1193.75,1,1,64,2,0,1,1,1,0,0
1200,0,0,64,2,0,1,1,1,0,0
1206.25,1,0,64,2,0,1,0,1,0,0
1210,1,1,64,3,0,1,0,1,0,0
1212.5,0,1,64,3,0,1,0,1,0,0
1218.75,1,1,64,3,0,1,0,1,0,0
1220,1,0,64,3,0,1,0,1,0,0
1225,0,0,64,3,0,1,0,1,0,0
1230,0,1,64,4,0,1,0,1,0,0
1231.25,1,1,64,4,0,1,0,1,0,0
1237.5,0,1,64,4,0,1,0,1,0,0
1240,0,0,64,4,0,1,0,1,0,0
1243.75,1,0,64,4,0,1,0,1,0,0
1250,0,1,64,5,0,1,0,1,0,0
1256.25,1,1,64,5,0,1,0,1,0,0
1260,1,0,64,5,0,1,0,1,0,0
1262.5,0,0,64,5,0,1,0,1,0,0
1268.75,1,0,64,5,0,1,0,1,0,0
1270,1,1,64,6,0,1,0,1,0,0
1275,0,1,64,6,0,1,0,1,0,0
