time_ns,wclk,rclk,w_en,r_en,full,empty,half_full,half_empty,data_in,data_out
643.75,1,0,1,0,0,0,1,1,96,64
644.75,1,0,0,0,0,0,1,1,96,64
650,0,1,1,0,0,0,1,1,97,64
656.25,1,1,1,0,0,0,1,1,97,64
657.25,1,1,0,0,0,0,1,1,97,64
660,1,0,0,0,0,0,1,1,97,64
662.5,0,0,1,0,0,0,1,1,98,64
668.75,1,0,1,0,0,0,1,1,98,64
669.75,1,0,0,0,0,0,1,1,98,64
670,1,1,0,0,0,0,1,1,98,64
675,0,1,1,0,0,0,1,1,99,64
680,0,0,1,0,0,0,1,1,99,64
681.25,1,0,1,0,0,0,1,1,99,64
682.25,1,0,0,0,0,0,1,1,99,64
687.5,0,0,1,0,0,0,1,1,100,64
690,0,1,1,0,0,0,1,0,100,64
693.75,1,1,1,0,0,0,1,0,100,64
694.75,1,1,0,0,0,0,1,0,100,64
700,0,0,1,0,0,0,1,0,101,64
706.25,1,0,1,0,0,0,1,0,101,64
707.25,1,0,0,0,0,0,1,0,101,64
710,1,1,0,0,0,0,1,0,101,64
712.5,0,1,1,0,0,0,1,0,102,64
718.75,1,1,1,0,0,0,1,0,102,64
719.75,1,1,0,0,0,0,1,0,102,64
720,1,0,0,0,0,0,1,0,102,64
725,0,0,1,0,0,0,1,0,103,64
730,0,1,1,0,0,0,1,0,103,64
731.25,1,1,1,0,0,0,1,0,103,64
732.25,1,1,0,0,0,0,1,0,103,64
737.5,0,1,1,0,0,0,1,0,104,64
740,0,0,1,0,0,0,1,0,104,64
743.75,1,0,1,0,0,0,1,0,104,64
744.75,1,0,0,0,0,0,1,0,104,64
750,0,1,1,0,0,0,1,0,105,64
756.25,1,1,1,0,0,0,1,0,105,64
757.25,1,1,0,0,0,0,1,0,105,64
760,1,0,0,0,0,0,1,0,105,64
762.5,0,0,1,0,0,0,1,0,106,64
768.75,1,0,1,0,0,0,1,0,106,64
769.75,1,0,0,0,0,0,1,0,106,64
770,1,1,0,0,0,0,1,0,106,64
775,0,1,1,0,0,0,1,0,107,64
780,0,0,1,0,0,0,1,0,107,64
781.25,1,0,1,0,0,0,1,0,107,64
782.25,1,0,0,0,0,0,1,0,107,64
787.5,0,0,1,0,0,0,1,0,108,64
790,0,1,1,0,0,0,1,0,108,64
793.75,1,1,1,0,0,0,1,0,108,64
794.75,1,1,0,0,0,0,1,0,108,64
800,0,0,1,0,0,0,1,0,109,64
806.25,1,0,1,0,0,0,1,0,109,64
807.25,1,0,0,0,0,0,1,0,109,64
810,1,1,0,0,0,0,1,0,109,64
812.5,0,1,1,0,0,0,1,0,110,64
818.75,1,1,1,0,0,0,1,0,110,64
819.75,1,1,0,0,0,0,1,0,110,64
820,1,0,0,0,0,0,1,0,110,64
825,0,0,1,0,0,0,1,0,111,64
830,0,1,1,0,0,0,1,0,111,64
831.25,1,1,1,0,0,0,1,0,111,64
832.25,1,1,0,0,0,0,1,0,111,64
837.5,0,1,1,0,0,0,1,0,112,64
840,0,0,1,0,0,0,1,0,112,64
843.75,1,0,1,0,0,0,1,0,112,64
844.75,1,0,0,0,0,0,1,0,112,64
850,0,1,1,0,0,0,1,0,113,64
856.25,1,1,1,0,0,0,1,0,113,64
857.25,1,1,0,0,0,0,1,0,113,64
860,1,0,0,0,0,0,1,0,113,64
862.5,0,0,1,0,0,0,1,0,114,64
868.75,1,0,1,0,0,0,1,0,114,64
869.75,1,0,0,0,0,0,1,0,114,64
870,1,1,0,0,0,0,1,0,114,64
875,0,1,1,0,0,0,1,0,115,64
880,0,0,1,0,0,0,1,0,115,64
881.25,1,0,1,0,0,0,1,0,115,64
882.25,1,0,0,0,0,0,1,0,115,64
887.5,0,0,1,0,0,0,1,0,116,64
890,0,1,1,0,0,0,1,0,116,64
893.75,1,1,1,0,0,0,1,0,116,64
894.75,1,1,0,0,0,0,1,0,116,64
900,0,0,1,0,0,0,1,0,117,64
906.25,1,0,1,0,0,0,1,0,117,64
907.25,1,0,0,0,0,0,1,0,117,64
910,1,1,0,0,0,0,1,0,117,64
912.5,0,1,1,0,0,0,1,0,118,64
918.75,1,1,1,0,0,0,1,0,118,64
919.75,1,1,0,0,0,0,1,0,118,64
920,1,0,0,0,0,0,1,0,118,64
925,0,0,1,0,0,0,1,0,119,64
930,0,1,1,0,0,0,1,0,119,64
931.25,1,1,1,0,0,0,1,0,119,64
932.25,1,1,0,0,0,0,1,0,119,64
937.5,0,1,1,0,0,0,1,0,120,64
940,0,0,1,0,0,0,1,0,120,64
943.75,1,0,1,0,0,0,1,0,120,64
944.75,1,0,0,0,0,0,1,0,120,64
950,0,1,1,0,0,0,1,0,121,64
956.25,1,1,1,0,0,0,1,0,121,64
957.25,1,1,0,0,0,0,1,0,121,64
960,1,0,0,0,0,0,1,0,121,64
962.5,0,0,1,0,0,0,1,0,122,64
968.75,1,0,1,0,0,0,1,0,122,64
969.75,1,0,0,0,0,0,1,0,122,64
970,1,1,0,0,0,0,1,0,122,64
975,0,1,1,0,0,0,1,0,123,64
980,0,0,1,0,0,0,1,0,123,64
981.25,1,0,1,0,0,0,1,0,123,64
982.25,1,0,0,0,0,0,1,0,123,64
987.5,0,0,1,0,0,0,1,0,124,64
990,0,1,1,0,0,0,1,0,124,64
993.75,1,1,1,0,0,0,1,0,124,64
994.75,1,1,0,0,0,0,1,0,124,64
1000,0,0,1,0,0,0,1,0,125,64
1006.25,1,0,1,0,0,0,1,0,125,64
1007.25,1,0,0,0,0,0,1,0,125,64
1010,1,1,0,0,0,0,1,0,125,64
1012.5,0,1,1,0,0,0,1,0,126,64
1018.75,1,1,1,0,0,0,1,0,126,64
1019.75,1,1,0,0,0,0,1,0,126,64
1020,1,0,0,0,0,0,1,0,126,64
1025,0,0,1,0,0,0,1,0,127,64
1030,0,1,1,0,0,0,1,0,127,64
1031.25,1,1,1,0,1,0,1,0,127,64
1032.25,1,1,0,0,1,0,1,0,127,64
1037.5,0,1,1,0,1,0,1,0,128,64
1040,0,0,1,0,1,0,1,0,128,64
1043.75,1,0,1,0,1,0,1,0,128,64
1044.75,1,0,0,0,1,0,1,0,128,64
1050,0,1,1,0,1,0,1,0,129,64
1056.25,1,1,1,0,1,0,1,0,129,64
1057.25,1,1,0,0,1,0,1,0,129,64
1060,1,0,0,0,1,0,1,0,129,64
1062.5,0,0,1,0,1,0,1,0,130,64
1068.75,1,0,1,0,1,0,1,0,130,64
1069.75,1,0,0,0,1,0,1,0,130,64
1070,1,1,0,0,1,0,1,0,130,64
1075,0,1,1,0,1,0,1,0,131,64
1080,0,0,1,0,1,0,1,0,131,64
1081.25,1,0,1,0,1,0,1,0,131,64
1082.25,1,0,0,0,1,0,1,0,131,64
1087.5,0,0,0,0,1,0,1,0,131,64
1090,0,1,0,0,1,0,1,0,131,64
1093.75,1,1,0,0,1,0,1,0,131,64
1100,0,0,0,0,1,0,1,0,131,64
1106.25,1,0,0,0,1,0,1,0,131,64
1110,1,1,0,0,1,0,1,0,131,64
1112.5,0,1,0,0,1,0,1,0,131,64
1118.75,1,1,0,0,1,0,1,0,131,64
1120,1,0,0,1,1,0,1,0,131,64
1125,0,0,0,1,1,0,1,0,131,64
1130,0,1,0,1,1,0,1,0,131,65
1131,0,1,0,0,1,0,1,0,131,65
1131.25,1,1,0,0,1,0,1,0,131,65
1137.5,0,1,0,0,1,0,1,0,131,65
1140,0,0,0,1,1,0,1,0,131,65
1143.75,1,0,0,1,1,0,1,0,131,65
1150,0,1,0,1,1,0,1,0,131,66
1151,0,1,0,0,1,0,1,0,131,66
1156.25,1,1,0,0,0,0,1,0,131,66
1160,1,0,0,1,0,0,1,0,131,66
