time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,error_flag,wData,rData,w_count,r_count
4698,0,0,0,0,1,0,0,78,1,145,82
4700,0,1,0,0,1,0,0,78,1,145,82
4710,0,1,0,0,1,0,0,78,0,145,82
4720,0,0,0,0,1,0,0,78,0,145,83
4728,1,0,0,0,1,0,0,34,0,146,83
4734,1,0,1,0,1,0,0,34,0,146,83
4746,1,0,0,0,1,0,0,34,0,146,83
4752,1,0,0,0,1,0,0,139,0,147,83
4758,1,0,1,0,1,0,0,139,0,147,83
4760,1,1,1,0,1,0,0,139,0,147,83
4770,1,1,1,0,1,0,0,139,0,147,83
4780,1,0,1,0,1,0,0,139,0,147,84
4800,1,1,1,0,1,0,0,139,0,147,84
4806,1,1,0,0,1,0,0,139,0,147,84
4810,1,1,0,0,1,0,0,139,1,147,84
4812,0,1,0,0,1,0,0,139,1,147,84
4820,0,1,0,0,1,0,0,139,1,147,85
4830,0,1,0,0,1,0,0,139,1,147,85
4840,0,0,0,0,1,0,0,139,1,147,86
4860,1,1,0,0,1,0,0,179,1,148,86
4870,1,1,0,0,1,0,0,179,0,148,86
4872,0,1,0,0,1,0,0,179,0,148,86
4880,0,1,0,0,1,0,0,179,0,148,87
4884,1,1,0,0,1,0,0,107,0,149,87
4890,1,1,0,0,1,0,0,107,1,149,87
4896,0,1,0,0,1,0,0,107,1,149,87
4900,0,0,0,0,1,0,0,107,1,149,88
4932,1,0,0,0,1,0,0,130,1,150,88
4940,1,1,0,0,1,0,0,130,1,150,88
4944,1,1,0,0,1,0,0,243,1,151,88
4956,0,1,0,0,1,0,0,243,1,151,88
4960,0,1,0,0,1,0,0,243,1,151,89
4970,0,1,0,0,1,0,0,243,0,151,89
4980,0,1,0,0,1,0,0,243,0,151,90
4990,0,1,0,0,1,0,0,243,1,151,90
4992,1,1,0,0,1,0,0,231,1,152,90
5000,1,0,0,0,1,0,0,231,1,152,91
5004,1,0,0,0,1,0,0,125,1,153,91
5016,1,0,0,0,1,0,0,174,1,154,91
5020,1,1,0,0,1,0,0,174,1,154,91
5028,1,1,0,0,1,0,0,235,1,155,91
5030,1,1,0,0,1,0,0,235,0,155,91
5034,1,1,1,0,1,0,0,235,0,155,91
5040,1,1,1,0,1,0,0,235,0,155,92
5050,1,1,1,0,1,0,0,235,0,155,92
5058,1,1,0,0,1,0,0,235,0,155,92
5060,1,1,0,0,1,0,0,235,0,155,93
5064,1,1,0,0,1,0,0,210,0,156,93
5070,1,1,1,0,1,0,0,210,0,156,93
5080,1,0,1,0,1,0,0,210,0,156,94
5082,1,0,0,0,1,0,0,210,0,156,94
5088,1,0,0,0,1,0,0,30,0,157,94
5094,1,0,1,0,1,0,0,30,0,157,94
5100,0,1,1,0,1,0,0,30,0,157,94
5106,0,1,0,0,1,0,0,30,0,157,94
5110,0,1,0,0,1,0,0,30,0,157,94
5112,1,1,0,0,1,0,0,181,0,158,94
5118,1,1,1,0,1,0,0,181,0,158,94
5120,1,1,1,0,1,0,0,181,0,158,95
5130,1,1,1,0,1,0,0,181,1,158,95
5140,1,0,1,0,1,0,0,181,1,158,96
5142,1,0,0,0,1,0,0,181,1,158,96
5148,1,0,0,0,1,0,0,230,1,159,96
5154,1,0,1,0,1,0,0,230,1,159,96
5166,1,0,0,0,1,0,0,230,1,159,96
5172,0,0,0,0,1,0,0,230,1,159,96
5200,0,1,0,0,1,0,0,230,1,159,96
5210,0,1,0,0,1,0,0,230,1,159,96
5220,1,1,0,0,1,0,0,194,1,160,97
5226,1,1,1,0,1,0,0,194,1,160,97
5230,1,1,1,0,1,0,0,194,0,160,97
5238,1,1,0,0,1,0,0,194,0,160,97
5240,1,1,0,0,1,0,0,194,0,160,98
5244,1,1,0,0,1,0,0,140,0,161,98
5250,1,1,1,0,1,0,0,140,0,161,98
5256,0,1,1,0,1,0,0,140,0,161,98
5260,0,0,1,0,1,0,0,140,0,161,99
5262,0,0,0,0,1,0,0,140,0,161,99
5280,1,0,0,0,1,0,0,187,0,162,99
5292,0,0,0,0,1,0,0,187,0,162,99
5316,1,0,0,0,1,0,0,3,0,163,99
5322,1,0,1,0,1,0,0,3,0,163,99
5340,0,1,1,0,1,0,0,3,0,163,99
5350,0,1,1,0,1,0,0,3,0,163,99
5360,0,1,1,0,1,0,0,3,0,163,100
5364,1,1,1,0,1,0,0,3,0,163,100
5370,1,1,1,0,1,0,0,3,0,163,100
5380,1,1,1,0,1,0,0,3,0,163,101
5382,1,1,0,0,1,0,0,3,0,163,101
5388,0,1,0,0,1,0,0,3,0,163,101
5390,0,1,0,0,1,0,0,3,1,163,101
5400,0,1,0,0,1,0,0,3,1,163,102
5410,0,1,0,0,1,0,0,3,0,163,102
5420,0,1,0,0,1,0,0,3,0,163,103
5430,0,1,0,0,1,0,0,3,1,163,103
5436,1,1,0,0,1,0,0,13,1,164,103
5440,1,0,0,0,1,0,0,13,1,164,104
5448,0,0,0,0,1,0,0,13,1,164,104
5460,1,1,0,0,1,0,0,114,1,165,104
5470,1,1,0,0,1,0,0,114,1,165,104
5472,0,1,0,0,1,0,0,114,1,165,104
5480,0,1,0,0,1,0,0,114,1,165,105
5484,1,1,0,0,1,0,0,109,1,166,105
5490,1,1,0,0,1,0,0,109,0,166,105
5496,0,1,0,0,1,0,0,109,0,166,105
5500,0,0,0,0,1,0,0,109,0,166,106
5508,1,0,0,0,1,0,0,49,0,167,106
5520,0,1,0,0,1,0,0,49,0,167,106
